id,@id,electrified,frequency,gauge,operator,railway,railway:block,tracks,usage,voltage,@timestamp,@version,@changeset,@user,@uid,bridge,layer,maxspeed,name,tunnel,year_of_construction,passenger_lines,railway:track_ref,service,railway:traffic_mode,covered,railway:ref,description,ele,light_rail,local_ref,network,public_transport,train,uic_name,uic_ref,ref,old_name,crossing:barrier,crossing:light,crossing:bell,supervised,railway:signal:main:form,crossing,horse,start_date
way/327922510,way/327922510,contact_line,"0","1000",AVA,narrow_gauge,W2_U,"1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327922513,way/327922513,contact_line,"0","1000",AVA,narrow_gauge,W2_U,"1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327923867,way/327923867,contact_line,"0","1000",AVA,narrow_gauge,"303","1",branch,"750",2019/07/09 17:05:41,"4","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327923868,way/327923868,contact_line,"0","1000",AVA,narrow_gauge,"303","1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/327925347,way/327925347,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/327926019,way/327926019,contact_line,"0","1000",AVA,narrow_gauge,"304","1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/327926020,way/327926020,contact_line,"0","1000",AVA,narrow_gauge,"304","1",branch,"750",2019/07/09 17:05:41,"3","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327926571,way/327926571,contact_line,"0","1000",AVA,narrow_gauge,"306","1",branch,"750",2019/07/09 17:05:41,"5","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/327926572,way/327926572,contact_line,"0","1000",AVA,narrow_gauge,"306","1",branch,"750",2019/07/09 17:05:41,"5","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/327939576,way/327939576,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2021/04/25 13:25:12,"5","103574310",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
